fuel_type,salt_type,U235F4_mole_frac,UF4_mole_frac,pitch,Tave_fuel,mod_salt_ratio,k_inf,conversion_ratio,fast_flux_graph,feedback_doppler,labels
2.0,1.0,11.0,90.0,12.25,1000.0,10.46,1.27263,0.471962,100.446,-1.89,16
2.0,2.0,11.0,90.0,12.25,1000.0,10.46,1.21423,0.50262,98.4861,1.89,2
2.0,3.0,11.0,90.0,12.25,1000.0,10.46,0.908592,0.71803,83.7167,-2.762,3
2.0,1.0,11.0,90.0,16.0,1000.0,10.46,1.2591,0.483634,98.6826,-1.76,16
2.0,2.0,11.0,90.0,16.0,1000.0,10.46,1.20262,0.504766,98.0018,-2.85,2
2.0,3.0,5.0,90.0,16.0,900.0,2.8205,0.57315,1.88111,55.0537,0.0,14
2.0,3.0,11.0,90.0,16.0,1000.0,10.46,0.90224,0.745664,75.5116,-2.386,3
3.0,1.0,11.0,90.0,1.0,1000.0,0.274,1.20627,0.510067,13.9308,-4.02,10
3.0,2.0,11.0,90.0,1.0,1000.0,0.274,1.18888,0.516072,11.6984,-3.64,10
3.0,3.0,11.0,90.0,1.0,1000.0,0.274,1.38172,0.501146,11.765,-5.29,17
3.0,1.0,11.0,90.0,4.75,1000.0,0.274,1.21413,0.506789,14.5557,-1.13,10
3.0,2.0,11.0,90.0,4.75,1000.0,0.274,1.19326,0.515336,12.0179,-3.59,10
3.0,3.0,11.0,90.0,4.75,1000.0,0.274,1.39813,0.486954,11.3934,-2.47,17
3.0,1.0,11.0,90.0,8.5,1000.0,0.274,1.22074,0.49777,16.8468,-3.99,10
3.0,2.0,11.0,90.0,8.5,1000.0,0.274,1.20349,0.499742,14.5456,-3.19,10
3.0,3.0,11.0,90.0,8.5,1000.0,0.274,1.40556,0.482557,10.2102,-1.73,17
2.0,1.0,5.0,90.0,1.0,900.0,5.367,0.68797,1.64914,72.6741,0.0,10
3.0,1.0,11.0,90.0,12.25,1000.0,0.274,1.23633,0.482146,21.8097,-6.92,10
3.0,2.0,11.0,90.0,12.25,1000.0,0.274,1.21843,0.488908,21.5994,-1.01,10
3.0,3.0,11.0,90.0,12.25,1000.0,0.274,1.41069,0.480381,8.50857,-1.88,17
3.0,1.0,11.0,90.0,16.0,1000.0,0.274,1.25962,0.459015,30.8678,-2.2,10
3.0,2.0,11.0,90.0,16.0,1000.0,0.274,1.24136,0.461795,31.1633,-3.75,10
3.0,3.0,11.0,90.0,16.0,1000.0,0.274,1.41783,0.479388,7.9765,1.91,17
3.0,1.0,11.0,90.0,1.0,1000.0,2.8205,1.20144,0.489697,40.366,-5.49,10
3.0,2.0,11.0,90.0,1.0,1000.0,2.8205,1.18213,0.498308,35.1362,-5.97,10
3.0,3.0,11.0,90.0,1.0,1000.0,2.8205,1.33442,0.470526,34.2869,-6.23,17
3.0,1.0,11.0,90.0,4.75,1000.0,2.8205,1.24633,0.465119,43.6869,-2.05,10
2.0,2.0,5.0,90.0,1.0,900.0,5.367,0.616494,1.84772,62.953,0.0,2
3.0,2.0,11.0,90.0,4.75,1000.0,2.8205,1.222,0.475589,37.6472,-0.73,10
3.0,3.0,11.0,90.0,4.75,1000.0,2.8205,1.37284,0.446513,36.0818,-3.55,17
3.0,1.0,11.0,90.0,8.5,1000.0,2.8205,1.28645,0.428038,49.5349,-2.78,10
3.0,2.0,11.0,90.0,8.5,1000.0,2.8205,1.25962,0.438672,45.4971,-3.44,10
3.0,3.0,11.0,90.0,8.5,1000.0,2.8205,1.39917,0.432068,32.7473,-0.92,17
3.0,1.0,11.0,90.0,12.25,1000.0,2.8205,1.31687,0.395948,56.022,-7.26,10
3.0,2.0,11.0,90.0,12.25,1000.0,2.8205,1.29852,0.395119,57.3592,2.78,10
3.0,3.0,11.0,90.0,12.25,1000.0,2.8205,1.41062,0.428669,33.1511,-2.15,17
3.0,1.0,11.0,90.0,16.0,1000.0,2.8205,1.33803,0.368831,62.3356,-2.0,10
3.0,2.0,11.0,90.0,16.0,1000.0,2.8205,1.31996,0.372747,62.6729,-0.69,10
2.0,3.0,5.0,90.0,1.0,900.0,5.367,0.535374,2.13128,65.0576,0.0,3
3.0,3.0,11.0,90.0,16.0,1000.0,2.8205,1.41738,0.435728,28.0358,-0.45,17
3.0,1.0,11.0,90.0,1.0,1000.0,5.367,1.20134,0.470987,60.0875,-3.34,10
3.0,2.0,11.0,90.0,1.0,1000.0,5.367,1.18071,0.489145,53.4254,-4.17,10
3.0,3.0,11.0,90.0,1.0,1000.0,5.367,1.30533,0.449309,51.016,-8.16,17
3.0,1.0,11.0,90.0,4.75,1000.0,5.367,1.28048,0.424322,63.9862,-6.97,10
3.0,2.0,11.0,90.0,4.75,1000.0,5.367,1.25652,0.436371,57.0697,-1.01,10
3.0,3.0,11.0,90.0,4.75,1000.0,5.367,1.36052,0.414275,55.0862,-3.59,17
3.0,1.0,11.0,90.0,8.5,1000.0,5.367,1.33451,0.378847,69.0783,-0.87,10
3.0,2.0,11.0,90.0,8.5,1000.0,5.367,1.30682,0.387888,64.8342,0.31,10
3.0,3.0,11.0,90.0,8.5,1000.0,5.367,1.39962,0.39902,52.112,-1.84,17
2.0,1.0,5.0,90.0,4.75,900.0,5.367,0.88017,1.13952,75.3638,0.0,10
3.0,1.0,11.0,90.0,12.25,1000.0,5.367,1.36201,0.349141,72.9577,-4.59,10
3.0,2.0,11.0,90.0,12.25,1000.0,5.367,1.33597,0.353532,71.2514,-1.92,10
3.0,3.0,11.0,90.0,12.25,1000.0,5.367,1.41499,0.396885,46.5506,-2.36,17
3.0,1.0,11.0,90.0,16.0,1000.0,5.367,1.37087,0.337739,75.564,0.4,10
3.0,2.0,11.0,90.0,16.0,1000.0,5.367,1.35059,0.340308,75.306,1.09,10
3.0,3.0,11.0,90.0,16.0,1000.0,5.367,1.42178,0.403657,42.0372,1.21,17
3.0,1.0,11.0,90.0,1.0,1000.0,7.9135,1.20031,0.465944,75.1003,-4.53,10
3.0,2.0,11.0,90.0,1.0,1000.0,7.9135,1.1803,0.480069,67.8882,-5.49,10
3.0,3.0,11.0,90.0,1.0,1000.0,7.9135,1.284,0.441988,63.9731,-7.89,17
3.0,1.0,11.0,90.0,4.75,1000.0,7.9135,1.31704,0.384417,79.8883,-5.49,10
2.0,2.0,5.0,10.0,12.25,900.0,2.8205,0.227584,6.86933,77.6312,0.0,2
2.0,2.0,5.0,90.0,4.75,900.0,5.367,0.791291,1.302,69.668,0.0,2
3.0,2.0,11.0,90.0,4.75,1000.0,7.9135,1.28684,0.402167,72.1018,1.55,10
3.0,3.0,11.0,90.0,4.75,1000.0,7.9135,1.35836,0.38294,70.2687,-2.64,17
3.0,1.0,11.0,90.0,8.5,1000.0,7.9135,1.36757,0.341896,82.2634,-2.4,10
3.0,2.0,11.0,90.0,8.5,1000.0,7.9135,1.33716,0.357581,75.6427,-3.29,10
3.0,3.0,11.0,90.0,8.5,1000.0,7.9135,1.40116,0.366154,65.5202,-3.68,17
3.0,1.0,11.0,90.0,12.25,1000.0,7.9135,1.3921,0.316474,85.1284,-3.12,10
3.0,2.0,11.0,90.0,12.25,1000.0,7.9135,1.36713,0.325004,82.498,5.72,10
3.0,3.0,11.0,90.0,12.25,1000.0,7.9135,1.41718,0.367567,57.43,-1.09,17
3.0,1.0,11.0,90.0,16.0,1000.0,7.9135,1.39045,0.30972,84.7224,-2.79,10
3.0,2.0,11.0,90.0,16.0,1000.0,7.9135,1.36793,0.319032,83.1121,-3.14,10
2.0,3.0,5.0,90.0,4.75,900.0,5.367,0.561444,1.83623,68.4184,0.0,3
3.0,3.0,11.0,90.0,16.0,1000.0,7.9135,1.4223,0.380649,50.5258,-0.0900000000001,17
3.0,1.0,11.0,90.0,1.0,1000.0,10.46,1.20318,0.455601,88.0928,-7.16,10
3.0,2.0,11.0,90.0,1.0,1000.0,10.46,1.18348,0.467164,79.9531,-4.63,10
3.0,3.0,11.0,90.0,1.0,1000.0,10.46,1.26585,0.428793,74.377,-7.82,17
3.0,1.0,11.0,90.0,4.75,1000.0,10.46,1.34931,0.358137,92.7983,-0.82,10
3.0,2.0,11.0,90.0,4.75,1000.0,10.46,1.31234,0.377085,83.3655,1.24,10
3.0,3.0,11.0,90.0,4.75,1000.0,10.46,1.35464,0.361275,82.0141,-5.44,17
3.0,1.0,11.0,90.0,8.5,1000.0,10.46,1.3977,0.313061,93.7391,-3.45,10
3.0,2.0,11.0,90.0,8.5,1000.0,10.46,1.36109,0.334996,86.0452,-2.39,10
3.0,3.0,11.0,90.0,8.5,1000.0,10.46,1.40571,0.340583,76.174,-1.47,17
2.0,1.0,5.0,90.0,8.5,900.0,5.367,0.9735,0.960529,85.1905,0.0,10
3.0,1.0,11.0,90.0,12.25,1000.0,10.46,1.40849,0.30134,92.4014,-2.82,10
3.0,2.0,11.0,90.0,12.25,1000.0,10.46,1.38355,0.307521,89.0583,1.31,10
3.0,3.0,11.0,90.0,12.25,1000.0,10.46,1.42108,0.341424,68.2989,-0.5,17
3.0,1.0,11.0,90.0,16.0,1000.0,10.46,1.40744,0.293869,92.0275,4.7,10
3.0,2.0,11.0,90.0,16.0,1000.0,10.46,1.37998,0.30361,88.6874,-0.28,10
3.0,3.0,11.0,90.0,16.0,1000.0,10.46,1.42453,0.356763,59.8823,0.2,17
1.0,1.0,14.0,10.0,1.0,1000.0,0.274,1.02357,0.70082,15.5511,-6.26,13
1.0,2.0,14.0,10.0,1.0,1000.0,0.274,1.00137,0.712501,13.0456,-5.0,8
1.0,3.0,14.0,10.0,1.0,1000.0,0.274,1.04411,0.710903,14.1205,-4.72,1
1.0,1.0,14.0,10.0,4.75,1000.0,0.274,1.04638,0.673836,17.0617,-4.61,13
2.0,2.0,5.0,90.0,8.5,900.0,5.367,0.887452,1.063,83.3286,0.0,2
1.0,2.0,14.0,10.0,4.75,1000.0,0.274,1.0232,0.687792,14.642,-2.87,8
1.0,3.0,14.0,10.0,4.75,1000.0,0.274,1.04286,0.700447,14.8396,-1.84,1
1.0,1.0,14.0,10.0,8.5,1000.0,0.274,1.08203,0.642268,24.1152,-0.58,13
1.0,2.0,14.0,10.0,8.5,1000.0,0.274,1.05371,0.644837,23.1283,-1.02,8
1.0,3.0,14.0,10.0,8.5,1000.0,0.274,1.04538,0.700067,14.7664,-2.08,1
